text,value
Γιώργος,B-PERSON
Παπανδρέου,I-PERSON
",",O
φρόντισε,O
να,O
κρατήσει,O
αποστάσεις,O
από,O
από,O
την,O
πρόεδρο,O
του,O
ΠΑΣΟΚ,B-ORG
για,O
το,O
ονοματολογικό,O
",",O
εκτιμώντας,O
πως,O
πρόκειται,O
για,O
μια,B-CARDINAL
«,O
ισορροπημένη,O
συμφωνία,O
»,O
που,O
«,O
θα,O
μπορούσε,O
να,O
ήταν,O
και,O
πολύ,O
καλύτερη,O
",",O
αν,O
είχαμε,O
ενώσει,O
όλοι,O
τις,O
δυνάμεις,O
μας,O
»,O
.,O
Ο,O
κύριος,O
Κόκκινος,B-PERSON
ανέφερε,O
ότι,O
το,O
κάπνισμα,O
είναι,O
υπεύθυνο,O
για,O
28%,B-PERCENT
του,O
θανάτου,O
ανδρών,O
και,O
13%,B-PERCENT
του,O
θανάτου,O
γυναικών,O
ηλικίας,O
35-60,B-DATE
ετών,I-DATE
.,O
Ο,O
υπουργός,O
Υγείας,O
Ανδρέας,B-PERSON
Ξανθός,I-PERSON
θα,O
συμμετάσχει,O
στις,O
εργασίες,O
της,O
συνόδου,O
εκπροσωπώντας,O
τη,O
χώρα,O
μας,O
στις,O
αποφάσεις,O
που,O
θα,O
ληφθούν,O
και,O
θα,O
επηρεάσουν,O
την,O
υγεία,O
900,B-MONEY
εκατομμυρίων,I-MONEY
ανθρώπων,O
.,O
*,O
Το,O
πρόγραμμα,O
απευθύνεται,O
σε,O
παιδιά,O
από,O
8,B-DATE
έως,I-DATE
12,I-DATE
ετών,I-DATE
και,O
διαρκεί,O
περίπου,O
60’,B-TIME
.,O
Επί,O
πλέον,O
",",O
καθίσταται,O
σχεδόν,O
αδύνατο,O
να,O
εξυπηρετηθεί,O
από,O
τις,O
δημόσιες,O
δομές,O
Υγείας,B-ORG
",",O
στις,O
οποίες,O
υπάρχουν,O
όλοι,O
και,O
όλοι,O
30,B-CARDINAL
ρευματολόγοι,O
",",O
εκ,O
των,O
οποίων,O
οι,O
20,B-CARDINAL
υπηρετούν,O
στο,O
ΠΕΔΥ,B-ORG
.,O
Τα,O
εν,O
λόγω,O
βίντεο,O
μπορούν,O
να,O
αναρτηθούν,O
στο,O
YouTube,B-ORG
βάσει,O
μιας,B-CARDINAL
«,O
ιδιωτικής,O
»,O
ρύθμισης,O
που,O
τα,O
αποτρέπει,O
να,O
εμφανίζονται,O
δημόσια,O
σε,O
κάποιο,O
website,O
ή,O
στα,O
αποτελέσματα,O
αναζήτησης,O
.,O
ΤΙΤΑΝ,B-ORG
:,O
"20,850",B-MONEY
ευρώ,I-MONEY
(,O
αμετάβλητη,O
),O
H,O
ελληνική,O
Πολεμική,B-ORG
Αεροπορία,I-ORG
",",O
για,O
να,O
τιμήσει,O
τον,O
πιλότο,O
που,O
έδωσε,O
τη,O
ζωή,O
του,O
",",O
υπερασπιζόμενος,O
την,O
εθνική,O
μας,O
κυριαρχία,O
",",O
εισηγήθηκε,O
να,O
του,O
αποδοθεί,O
ο,O
βαθμός,O
του,O
αντιπτεράρχου,O
.,O
Ο,O
Μπρους,B-PERSON
Λι,I-PERSON
παραμένει,O
και,O
σήμερα,B-DATE
αρκετά,O
δημοφιλής,O
και,O
γύρω,O
του,O
έχει,O
στηθεί,O
μια,B-CARDINAL
επικερδής,O
βιομηχανία,O
.,O
Διατεθειμένος,O
να,O
προσφέρει,O
χείρα,O
βοηθείας,O
στην,O
Καγκελάριο,O
της,O
Γερμανίας,B-GPE
",",O
Άνγκελα,B-PERSON
Μέρκελ,I-PERSON
",",O
η,O
οποία,O
αντιμετωπίζει,O
έντονη,O
αμφισβήτηση,O
στο,O
εσωτερικό,O
της,O
κυβέρνησής,O
της,O
για,O
το,O
προσφυγικό,O
",",O
εμφανίστηκε,O
ο,O
πρωθυπουργός,O
Αλέξης,B-PERSON
Τσίπρας,I-PERSON
μιλώντας,O
στους,O
Financial,B-ORG
Times,I-ORG
.,O
Φορτισμένος,O
δήμος,O
",",O
ωστόσο,O
",",O
εδώ,O
",",O
πρέπει,O
να,O
προσμετρηθεί,O
το,O
γεγονός,O
ότι,O
και,O
ο,O
Γιάννης,B-PERSON
Μώραλης,I-PERSON
δεν,O
είναι,O
τόσο,O
άφθαρτος,O
όσο,O
πριν,O
από,O
4,B-DATE
χρόνια,I-DATE
.,O
Παράδειγμα,O
της,O
προκλητικής,O
ιδιοφυΐας,O
του,O
ήταν,O
η,O
κοσμολογική,O
θεωρία,O
του,O
για,O
το,O
τι,O
συνέβη,O
ή,O
",",O
καλύτερα,O
",",O
για,O
το,O
τι,O
μπορεί,O
να,O
υπήρχε,O
πριν,O
από,O
τη,O
Μεγάλη,B-EVENT
Εκρηξη,I-EVENT
(,O
το,O
Big,B-EVENT
Bang,I-EVENT
),O
",",O
το,O
πρωταρχικό,O
συμβάν,O
από,O
το,O
οποίο,O
",",O
σύμφωνα,O
με,O
την,O
κρατούσα,O
θεωρία,O
",",O
προέκυψε,O
το,O
Σύμπαν,O
.,O
Ο,O
Λενγκέ,B-PERSON
αγωνίστηκε,O
για,O
1.5,B-DATE
χρόνο,I-DATE
στην,O
ομάδα,O
της,O
Ανδαλουσίας,B-GPE
",",O
η,O
οποία,O
τον,O
είχε,O
αποκτήσει,O
τον,O
Ιανουάριο,B-DATE
του,I-DATE
2017,I-DATE
από,O
τη,O
Νανσί,B-ORG
αντί,O
μόλις,O
"5,4",B-MONEY
εκατ.,I-MONEY
ευρώ,I-MONEY
.,O
H,O
νέα,O
προηγμένη,O
εφαρμογή,O
γονικού,O
ελέγχου,O
COSMOTE,B-PRODUCT
Family,I-PRODUCT
Safety,I-PRODUCT
",",O
δίνει,O
τη,O
δυνατότητα,O
στους,O
γονείς,O
να,O
ενημερώνονται,O
για,O
τα,O
sites,O
και,O
τις,O
εφαρμογές,O
που,O
χρησιμοποιούν,O
τα,O
παιδιά,O
τους,O
",",O
αποκλείοντας,O
εκείνα,O
που,O
θεωρούν,O
ακατάλληλα,O
",",O
να,O
θέτουν,O
όρια,O
στον,O
χρόνο,O
που,O
αφιερώνουν,O
τα,O
παιδιά,O
στο,O
Internet,O
και,O
να,O
τα,O
προστατεύουν,O
κατά,O
την,O
πλοήγηση,O
στα,O
κοινωνικά,O
δίκτυα,O
(,O
cyberbullying,O
",",O
predators,O
),O
.,O
Σε,O
ανάλογο,O
μήκος,O
κύματος,O
ήταν,O
και,O
ο,O
επικεφαλής,O
της,O
παράταξης,O
«,O
Αυτοδιοικητικό,B-ORG
Κίνημα,I-ORG
»,O
",",O
δήμαρχος,O
Αμφιλοχίας,O
",",O
Απόστολος,B-PERSON
Κοιμήσης,I-PERSON
",",O
που,O
μίλησε,O
για,O
έναν,B-CARDINAL
νόμο,O
«,O
γραμμένο,O
στο,O
γόνατο,O
»,O
και,O
μια,B-CARDINAL
κυβέρνηση,O
που,O
μελλοντικά,O
θα,O
αναγκαστεί,O
να,O
αλλάξει,O
πολλές,O
διατάξεις,O
του,O
.,O
Λόγω,O
του,O
μεγέθους,O
τους,O
",",O
δεν,O
επιτρέπεται,O
να,O
λειτουργούν,O
σε,O
προστατευόμενες,O
ζώνες,O
",",O
αλλά,O
μπορούν,O
να,O
κατασκευαστούν,O
σε,O
Ζώνες,B-FAC
Οικιστικού,I-FAC
Ελέγχου,I-FAC
(,O
ΖΟΕ,B-FAC
),O
στις,O
οποίες,O
ήδη,O
επιτρέπονται,O
δραστηριότητες,O
ήπιας,O
όχλησης,O
(,O
εργαστήρια,O
",",O
χονδρεμπόριο,O
",",O
εμπόριο,O
κ.λπ.,O
),O
.,O
Η,O
τραγική,O
ειρωνεία,O
είναι,O
ότι,O
ο,O
37χρονος,O
Σαμάν,B-PERSON
Κούναν,I-PERSON
",",O
πρώην,O
μέλος,O
των,O
Ειδικών,B-ORG
Δυνάμεων,I-ORG
του,O
Πολεμικού,B-ORG
Ναυτικού,I-ORG
της,O
Ταϊλάνδης,B-GPE
είχε,O
αποστρατευθεί,O
και,O
επέστρεψε,O
προκειμένου,O
να,O
συνδράμει,O
εθελοντικά,O
στην,O
επιχείρηση,O
διάσωσης,O
των,O
παιδιών,O
",",O
καθότι,O
δεινός,O
δύτης,O
.,O
Σε,O
ανάλογο,O
ύφος,O
κι,O
η,O
ανάρτηση,O
του,O
αντιπροέδρου,O
του,O
Ευρωπαϊκού,B-ORG
Κοινοβουλίου,I-ORG
",",O
Δημήτρη,B-PERSON
Παπαδημούλη,B-PERSON
:,O
Ο,O
Λι,B-PERSON
έγινε,O
γνωστός,O
στο,O
αμερικανικό,O
κοινό,O
με,O
την,O
τηλεοπτική,O
σειρά,O
«,O
The,B-WORK_OF_ART
Green,I-WORK_OF_ART
Hornet,I-WORK_OF_ART
»,O
.,O
Στέφανο,B-PERSON
Πιραΐνο,I-PERSON
:,O
Το,O
πρόβλημα,O
υπάρχει,O
σε,O
παγκόσμια,O
κλίμακα,O
και,O
σε,O
περιφερειακό,O
επίπεδο,O
στη,O
Μεσόγειο,B-LOC
",",O
όπου,O
επιδεινώνεται,O
τοπικά,O
από,O
συγκεκριμένα,O
γεγονότα,O
",",O
όπως,O
αυτό,O
που,O
συμβαίνει,O
στον,O
κόλπο,O
της,O
Κορίνθου,B-GPE
τα,O
τελευταία,O
δύο,B-DATE
χρόνια,I-DATE
.,O
Πρώτα,B-ORDINAL
ο,O
Μαρσέλο,B-PERSON
και,O
κατόπιν,O
ο,O
Νεϊμάρ,B-PERSON
έφτασαν,O
κοντά,O
στο,O
πρώτο,B-ORDINAL
γκολ,O
στο,O
52’,B-TIME
και,O
το,O
57’,B-TIME
αντίστοιχα,O
.,O
Περισσότερη,O
ελάφρυνση,O
του,O
χρέους,O
στο,O
μακροπρόθεσμο,O
διάστημα,O
θα,O
χρειαστεί,O
η,O
χώρα,O
",",O
καθώς,O
η,O
συμφωνία,O
στο,O
Eurogroup,B-ORG
προβλέπει,O
το,O
βραχυπρόθεσμο,O
περιορισμό,O
των,O
χρηματοδοτικών,O
αναγκών,O
της,O
Ελλάδας,B-GPE
",",O
αναφέρει,O
σε,O
έκθεσή,O
της,O
η,O
Rabobank,B-ORG
.,O
«,O
Από,O
τα,O
αρχικά,O
μας,O
συμπεράσματα,O
προκύπτει,O
πως,O
δεν,O
είναι,O
μία,O
παραλλαγή,O
του,O
ransomware,O
Petya,B-PRODUCT
",",O
όπως,O
αναφέρθηκε,O
δημόσια,O
",",O
αλλά,O
ένας,B-CARDINAL
καινούριος,O
τύπος,O
ransomware,O
που,O
δεν,O
έχει,O
εμφανιστεί,O
ποτέ,O
ξανά,O
.,O
Στέφανο,B-PERSON
Πιραΐνο,I-PERSON
:,O
Δεν,O
γνωρίζω,O
συγκεκριμένα,O
την,O
κατάσταση,O
",",O
επειδή,O
η,O
περίοδος,O
παραμονής,O
μου,O
ήταν,O
λιγότερο,O
από,O
48,B-DATE
ώρες,I-DATE
",",O
μόνο,O
για,O
το,O
συνέδριο,O
.,O
Σύμφωνα,O
με,O
στοιχεία,O
του,O
ΙΓΜΕ,B-ORG
που,O
επικαλείται,O
η,O
μελέτη,O
",",O
το,O
ύψος,O
τού,O
υπό,O
εξέταση,O
υδροφόρου,O
ορίζοντα,O
δεν,O
είναι,O
σταθερό,O
.,O
«,O
Η,O
πρόσβαση,O
σε,O
ποιοτικο,O
νερο,O
βρύσης,O
ποικίλλει,O
σε,O
μεγάλο,O
βαθμό,O
σε,O
ολόκληρη,O
την,O
ΕΕ.,B-ORG
Σύμφωνα,O
με,O
την,O
Επιτροπή,O
",",O
23,B-CARDINAL
εκατ.,I-CARDINAL
πολίτες,O
της,O
ΕΕ,B-ORG
δεν,O
συνδέονται,O
με,O
δημόσια,O
συστήματα,O
ύδρευσης,O
και,O
ένα,B-CARDINAL
εκατομμύριο,I-CARDINAL
κυρίως,O
φτωχοί,O
άνθρωποι,O
δεν,O
έχουν,O
πρόσβαση,O
σε,O
καλό,O
και,O
ασφαλές,O
νερό,O
.,O
Η,O
οργάνωση,O
προβλέπει,O
ότι,O
οι,O
πολιτικές,O
που,O
ακολουθούν,O
αυτές,O
οι,O
δύο,B-CARDINAL
χώρες,O
«,O
οδηγούν,O
σε,O
μείωση,O
της,O
θερμοκρασίας,O
κατά,O
"0,2",B-QUANTITY
βαθμούς,I-QUANTITY
Κελσίου,I-QUANTITY
»,O
.,O
(,O
1998,B-DATE
),O
Του,B-WORK_OF_ART
Γενάρη,I-WORK_OF_ART
το,I-WORK_OF_ART
φεγγάρι,I-WORK_OF_ART
:,I-WORK_OF_ART
Παραμύθια,I-WORK_OF_ART
για,I-WORK_OF_ART
τους,I-WORK_OF_ART
δώδεκα,I-WORK_OF_ART
(,O
εικονογράφηση,O
Μάνος,B-PERSON
Ελευθερίου,I-PERSON
),O
",",O
Κέδρος,B-ORG
Μιλώντας,O
στην,O
τηλεόραση,O
του,O
ΣΚΑΪ,B-ORG
",",O
ο,O
κ.,O
Χατζησωκράτης,B-PERSON
παρουσίασε,O
ορισμένες,O
«,O
τρανταχτές,O
»,O
",",O
όπως,O
είπε,O
",",O
περιπτώσεις,O
περικοπών,O
",",O
και,O
συγκεκριμένα,O
:,O
«,O
Αύξηση,O
της,O
εισφοράς,O
υπέρ,O
υγείας,O
από,O
το,O
4%,B-PERCENT
στο,O
6%,B-PERCENT
στο,O
σύνολο,O
των,O
κύριων,O
συντάξεων,O
.,O
Όμως,O
δεν,O
έχουμε,O
επιλογή,O
",",O
πρέπει,O
να,O
της,O
δώσουμε,O
τη,O
δυνατότητα,O
να,O
ζήσει,O
με,O
τους,O
γονείς,O
της,O
»,O
είπε,O
η,O
γιατρός,O
Μαρί,B-PERSON
Κλερ,I-PERSON
Κολιέ,I-PERSON
εκ,O
μέρους,O
του,O
ιατρικού,O
προσωπικού,O
.,O
Μήνυμα,O
ενότητας,O
από,O
τον,O
Προκόπη,B-PERSON
Παυλόπουλο,I-PERSON
Γιατί,O
περί,O
καταλύσεως,O
του,O
πολιτεύματος,O
πρόκειται,O
η,O
προσπάθεια,O
η,O
οποία,O
γίνεται,O
για,O
εκφοβισμό,O
στελεχών,O
ενός,B-CARDINAL
δημοκρατικού,O
κινήματος,O
»,O
υπογράμμισε,O
ο,O
κ.,O
Καμμένος,B-PERSON
.,O
«,O
Κάποιοι,O
θεωρούσαν,O
ότι,O
οι,O
διαφορετικές,O
απόψεις,O
ήταν,O
εμπόδιο,O
στο,O
Κίνημα,B-ORG
Αλλαγής,I-ORG
",",O
εμείς,O
θεωρούσαμε,O
ότι,O
ήταν,O
πλούτος,O
.,O
Στην,O
ΑΕΚ,B-ORG
μιλούσαν,O
για,O
προσπάθεια,O
της,O
δημοτικής,O
αρχής,O
να,O
μπλοκάρει,O
«,O
ντε,O
φάκτο,O
»,O
τη,O
διαδικασία,O
",",O
αλλά,O
επέμεναν,O
σε,O
όλους,O
τους,O
τόνους,O
πως,O
θα,O
προχωρήσουν,O
στην,O
κατεδάφιση,O
.,O
Εκτιμάται,O
ότι,O
οι,O
αμμόλοφοι,O
σχηματίσθηκαν,O
πριν,O
από,O
500.000,B-DATE
χρόνια,I-DATE
",",O
ίσως,O
και,O
πολύ,O
πιο,O
πρόσφατα,O
.,O
Το,O
ΥΠΠΟΑ,B-ORG
",",O
ύστερα,O
από,O
σχετική,O
εισήγηση,O
του,O
ΟΠΙ,B-ORG
",",O
έχει,O
αποφασίσει,O
τον,O
άμεσο,O
διορισμό,O
Επιτρόπου,O
.,O
Τα,O
πρώτα,B-ORDINAL
5-8,B-QUANTITY
κιλά,I-QUANTITY
είναι,O
συχνά,O
τα,O
πιο,O
δύσκολα,O
να,O
χαθούν,O
και,O
αυτό,O
διότι,O
το,O
σώμα,O
αρνείται,O
να,O
υπακούσει,O
",",O
μιας,O
και,O
νοιώθει,O
βολεμένο,O
και,O
ο,O
μεταβολισμός,O
έχει,O
μνήμη,O
και,O
θυμάται,O
τις,O
άπειρες,O
ταλαιπωρίες,O
",",O
στις,O
οποίες,O
τον,O
έχετε,O
υποβάλει,O
",",O
στην,O
προσπάθειά,O
σας,O
να,O
απωλέσετε,O
κάποια,O
περιττά,O
κιλά,O
",",O
από,O
μαγικές,O
δίαιτες,O
που,O
κυκλοφορούν,O
από,O
χέρι,O
σε,O
χέρι,O
με,O
φωτοτυπίες,O
",",O
ή,O
κάτι,O
που,O
διαβάσατε,O
σε,O
κάποιο,O
ένθετο,O
.,O
«,O
Το,O
Method-2,B-PRODUCT
είναι,O
το,O
πρώτο,B-ORDINAL
επανδρωμένο,O
δίποδο,O
ρομπότ,O
στον,O
κόσμο,O
και,O
είναι,O
κατασκευασμένο,O
ώστε,O
να,O
λειτουργεί,O
σε,O
ακραίες,O
και,O
επικίνδυνες,O
συνθήκες,O
και,O
περιοχές,O
όπου,O
οι,O
άνθρωποι,O
δεν,O
μπορούν,O
να,O
πάνε,O
χωρίς,O
προστασία,O
»,O
",",O
δήλωσε,O
ο,O
πρόεδρος,O
της,O
εταιρείας,O
Γιανγκ,B-ORG
Ζιν-Ξο,I-ORG
.,O
Κατά,O
την,O
διάρκεια,O
των,O
τελευταίων,O
δεκαετιών,O
",",O
το,O
οικοσύστημα,O
αυτό,O
έχει,O
υποστεί,O
τεράστιες,O
ζημιές,O
που,O
συνεχίζονται,O
έως,O
τα,O
σήμερα,B-DATE
.,O
Η,O
Βίκυ,B-PERSON
Μαραγκοπούλου,I-PERSON
στο,O
τιμόνι,O
της,O
ΚΣΟΤ,B-ORG
Τον,O
Νοέμβριο,B-DATE
είμαι,O
στο,O
στούντιο,O
όταν,O
μου,O
τηλεφωνεί,O
ο,O
ίδιος,O
ο,O
Μαλαγκό,B-PERSON
εν,O
συγχύσει,O
αλλά,O
και,O
καθησυχαστικός,O
:,O
«,O
Αντί,O
για,O
τον,O
Γενάρη,B-DATE
έλα,O
καλύτερα,O
τις,O
επόμενες,O
μέρες,O
για,O
έλεγχο,O
.,O
«,O
Ο,O
κόσμος,O
είχε,O
κουραστεί,O
να,O
είναι,O
σοβαρός,O
»,O
λέει,O
ένας,B-CARDINAL
τακτικός,O
θαμώνας,O
του,O
Studio,B-ORG
54,I-ORG
",",O
στο,O
ντοκιμαντέρ,O
για,O
το,O
διαβόητο,O
νάιτ,O
κλαμπ,O
της,O
Νέας,B-GPE
Υόρκης,I-GPE
.,O
Επιτυχής,O
συγκόλληση,O
ακρωτηριασμένου,O
χεριού,O
σε,O
ασθενή,O
στο,O
ΚΑΤ,B-ORG
Στη,O
μελέτη,O
προτείνεται,O
να,O
αναζητηθεί,O
άλλη,O
θέση,O
για,O
το,O
λιμάνι,O
της,O
Ελευσίνας,B-GPE
",",O
είτε,O
ανατολικότερα,O
έως,O
και,O
τα,O
Ναυπηγεία,B-FAC
Σκαραμαγκά,I-FAC
είτε,O
δυτικότερα,O
έως,O
και,O
τα,O
Ναυπηγεία,B-FAC
της,I-FAC
Ελευσίνας,I-FAC
",",O
αντί,O
της,O
σημερινής,O
πρόβλεψης,O
για,O
τη,O
μετακίνησή,O
του,O
λίγα,O
μέτρα,O
δυτικότερα,O
από,O
την,O
υπάρχουσα,O
θέση,O
του,O
.,O
Είναι,O
η,O
πρώτη,B-ORDINAL
φορά,O
που,O
η,O
Ιταλία,B-GPE
λαμβάνει,O
την,O
απόφαση,O
να,O
κλείσει,O
τα,O
λιμάνια,O
της,O
.,O
Το,O
Ευρωπαϊκό,B-ORG
Κοινοβούλιο,I-ORG
έχει,O
θεσπίσει,O
από,O
το,O
2004,B-DATE
σχετική,O
οδηγία,O
για,O
την,O
εφαρμογή,O
προτύπων,O
ποιότητας,O
και,O
ασφάλειας,O
για,O
τη,O
δωρεά,O
",",O
την,O
προμήθεια,O
",",O
τον,O
έλεγχο,O
",",O
την,O
επεξεργασία,O
",",O
τη,O
συντήρηση,O
",",O
την,O
αποθήκευση,O
και,O
τη,O
διανομή,O
ανθρώπινων,O
ιστών,O
και,O
κυττάρων,O
.,O
Αυτός,O
ναι,O
μεν,O
είχε,O
ήδη,O
ταξιδέψει,O
σε,O
5,B-EVENT
Παγκόσμια,I-EVENT
Κύπελλα,I-EVENT
(,O
από,O
το,O
1998,B-DATE
έως,O
το,O
2014,B-DATE
),O
",",O
αλλά,O
είχε,O
αγωνιστεί,O
στα,O
τέσσερα,B-CARDINAL
από,O
αυτά,O
(,O
ήταν,O
παγκίτης,O
σε,O
εκείνο,O
του,O
1998,B-DATE
),O
.,O
Ο,O
επικεφαλής,O
της,O
Υπηρεσίας,B-ORG
Περιβάλλοντος,I-ORG
του,O
ΟΗΕ,B-ORG
",",O
Έρικ,B-PERSON
Σόλχαϊμ,I-PERSON
",",O
χαρακτήρισε,O
την,O
κίνηση,O
ως,O
μια,B-CARDINAL
φαινομενική,O
δέσμευση,O
",",O
επικροτώντας,O
την,O
Ινδία,B-GPE
που,O
«,O
αντιστέκεται,O
στην,O
πλαστική,O
ρύπανση,O
»,O
.,O
Εγκρίθηκε,O
σήμερα,B-DATE
",",O
από,O
την,O
Επιτροπή,O
του,O
άρθρου,B-LAW
49Α,I-LAW
του,I-LAW
Κανονισμού,I-LAW
της,I-LAW
Βουλής,I-LAW
",",O
η,O
πρόταση,O
του,O
Υφυπουργού,O
Κοινωνικής,O
Ασφάλισης,O
",",O
Αναστάσιου,B-PERSON
Πετρόπουλου,I-PERSON
",",O
για,O
τον,O
διορισμό,O
του,O
Λάμπρου,B-PERSON
Σέμπου,B-PERSON
στη,O
θέση,O
του,O
διοικητή,O
του,O
Ενιαίου,B-ORG
Φορέα,I-ORG
Κοινωνικής,I-ORG
Ασφάλισης,I-ORG
(,O
ΕΦΚΑ,B-ORG
),O
και,O
του,O
Νικόλαου,B-PERSON
Μπρίκη,B-PERSON
ως,O
διοικητή,O
του,O
Ενιαίου,B-ORG
Ταμείου,I-ORG
Επικουρικής,I-ORG
Ασφάλισης,I-ORG
και,I-ORG
Εφάπαξ,I-ORG
Παροχών,I-ORG
(,O
ΕΤΕΑΕΠ,B-ORG
),O
.,O
«,O
Επίσης,O
",",O
συγχαρητήρια,O
στον,O
πρόεδρο,O
Πούτιν,B-PERSON
και,O
στη,O
Ρωσία,B-GPE
για,O
τη,O
διοργάνωση,O
ενός,B-CARDINAL
πραγματικά,O
εκπληκτικού,O
Παγκοσμίου,B-EVENT
Κυπέλλου,I-EVENT
",",O
από,O
τα,O
καλύτερα,O
που,O
έχουν,O
πραγματοποιηθεί,O
ποτέ,O
!,O
»,O
",",O
Ρωσία,B-GPE
:,O
Τον,O
Μαχμούντ,B-PERSON
Αμπάς,I-PERSON
δέχτηκε,O
στο,O
Κρεμλίνο,B-ORG
ο,O
Πούτιν,B-PERSON
Ο,O
ιδρυτής,O
του,O
Facebook,B-ORG
",",O
Μαρκ,B-PERSON
Ζάκερμπεργκ,I-PERSON
βρίσκεται,O
στο,O
μάτι,O
του,O
κυκλώνα,O
του,O
σκανδάλου,O
",",O
με,O
τις,O
αρχές,O
σε,O
ΗΠΑ,B-GPE
",",O
Βρετανία,B-GPE
και,O
Ευρωπαϊκή,B-ORG
Ένωση,I-ORG
να,O
τον,O
καλούν,O
να,O
δώσει,O
εξηγήσεις/,O
Η,O
αφήγηση,O
του,O
νυν,O
προπονητή,O
της,O
Εθνικής,B-ORG
Αγγλίας,I-ORG
είναι,O
συγκλονιστική,O
και,O
μας,O
βάζει,O
πλήρως,O
στο,O
κλίμα,O
.,O
Η,O
Google,B-ORG
αναφέρει,O
ότι,O
«,O
υπάρχει,O
ένα,B-CARDINAL
ολόκληρο,O
",",O
ζωντανό,O
οικοσύστημα,O
από,O
εφαρμογές,O
",",O
οι,O
οποίες,O
δεν,O
ανήκουν,O
στην,O
Google,B-ORG
",",O
που,O
σας,O
παρέχουν,O
τη,O
δυνατότητα,O
επιλογών,O
και,O
σας,O
βοηθούν,O
να,O
αξιοποιήσετε,O
στο,O
μάξιμουμ,O
τις,O
δυνατότητες,O
της,O
ηλεκτρονικής,O
αλληλογραφίας,O
σας,O
.,O
Περίπου,O
στις,O
11.00,B-TIME
το,O
πρωί,B-TIME
έφτασαν,O
στα,O
δικαστήρια,B-FAC
της,I-FAC
Ευελπίδων,I-FAC
φορώντας,O
χειροπέδες,O
προκειμένου,O
να,O
παρουσιαστούν,O
